year,investment,capital_stock,gdp,investment_over_gdp,capital_stock_over_gdp,interest_rate_gov
1960,2.60867357254028,39.5694007873535,57.9954528808594,4.498065698183791,68.22845382144233,
1961,2.71302032470703,41.1562309265137,61.1674537658691,4.43539849654633,67.28452533605137,
1962,2.82154107093811,42.7908782958984,65.2372741699219,4.325044396534582,65.59268277279959,
1963,2.93440246582031,44.4750366210938,69.10019683837891,4.24659060332881,64.36311133109818,
1964,3.05177855491638,46.2104568481445,73.63844299316411,4.144273603394464,62.75316936349977,
1965,3.17384958267212,47.998966217041,79.1439666748047,4.010223035336574,60.64766302940608,
1966,3.30080366134644,49.8424644470215,82.3714065551758,4.007220222876034,60.50942497095146,
1967,3.43283557891846,51.7429122924805,88.5858154296875,3.87515265538553,58.409929446944,
1968,3.57014894485474,53.70235824584961,96.4482955932617,3.701619528779072,55.6799453173556,
1969,3.7129545211792,55.72291946411131,98.4937438964844,3.769736405879205,56.57508513705738,
1970,3.86147284507751,57.8067970275879,107.470291137695,3.593060746555572,53.78862978376382,
1971,4.01593160629272,59.95627975463871,114.597351074219,3.504384323588598,52.31907997228314,
1972,4.17656898498535,62.17373657226562,123.78311920166,3.374102229708023,50.22796078597431,
1973,4.34363126754761,64.46162414550781,137.647674560547,3.155615437322175,46.83088497594133,
1974,4.51737642288208,66.82250976562501,139.220779418945,3.244757314056066,47.99751161034794,
1975,4.69807147979736,69.25902557373051,133.16796875,3.527929068751647,52.0087722474407,
1976,4.88599395751953,71.77391815185551,142.356872558594,3.432215016881927,50.41830215981557,
1977,3.60990977287292,74.37004852294922,150.332550048828,2.401282870343396,49.47035655205332,
1978,5.73972797393799,75.60181427001952,154.565872192383,3.713451030634978,48.91235898175533,
1979,5.87418270111084,78.86298370361332,163.281753540039,3.597574483220139,48.2987118853271,
1980,5.68882083892822,82.12355804443361,170.775299072266,3.331173108659534,48.08866299199503,
1981,6.69366359710693,85.06645965576172,173.538619995117,3.85716078489922,49.01874848270391,
1982,6.10571050643921,88.87052154541021,177.244323730469,3.444798895632907,50.14012278359525,
1983,5.38953590393066,91.93827819824222,176.937484741211,3.046011370520725,51.96088230411507,
1984,4.68650007247925,94.16567993164061,173.611083984375,2.69942446353312,54.2394401155375,
1985,4.64875459671021,95.59206390380861,178.485137939453,2.60456116984216,53.55743621423316,
1986,4.9402494430542,96.89732360839842,185.876113891602,2.657818339119798,52.13005672418263,
1987,5.53345346450806,98.40818786621091,197.737594604492,2.798382106132062,49.76706026137499,
1988,6.37971782684326,100.412857055664,212.54638671875,3.00156494087343,47.24279655176372,
1989,6.39375114440918,103.141212463379,226.235733032227,2.826145568922306,45.59015106985185,
1990,6.95886611938477,105.748291015625,235.173233032227,2.95903833512854,44.96612546085709,
1991,7.9292140007019,108.777626037598,245.446075439453,3.230531996286854,44.31833992164662,
1992,9.6734733581543,112.60962677002,248.120147705078,3.898705303711345,45.3851199959266,
1993,10.1333456039429,117.971961975098,243.050369262695,4.169236868342513,48.53807148410085,
1994,9.508073806762701,123.543869018555,245.395401000977,3.874593316736546,50.34481840923463,
1995,10.45998257398605,128.248596191406,255.905166625977,4.087444857756247,50.11567288082548,
1996,11.7945871353149,133.6624396145347,264.872711181641,4.452926495408793,50.46289556151119,8.200000000000001
1997,14.42312669754027,140.1299266815183,276.529418945313,5.215765741146195,50.67450950281375,6.6
1998,14.35756790637975,148.8750274181368,289.824829101563,4.953877813328562,51.3672440969392,5.800000000000002
1999,15.26763212680813,157.1617219448093,301.147064208984,5.069825989142968,52.1876985112315,5.7
2000,15.27225470542905,165.9581050872804,312.639404296875,4.884942363479837,53.08291367190891,5.800000000000002
2001,17.52754426002506,174.3501038551326,318.716064453125,5.499422908004348,54.70389581845977,5.800000000000002
2002,16.61024451255799,184.5531044006352,321.173126220703,5.171741704548406,57.46218762830563,5.2
2003,15.71768665313723,193.37845993042,318.184509277344,4.939802597189603,60.77557338338635,4.5
2004,15.97782421112065,200.8994026184081,323.876037597656,4.933314711898984,62.02972103418806,4.2
2005,14.21729719638828,208.2924318313598,326.408233642578,4.355679707502856,63.81347354719098,4
2006,11.74378883838651,213.5784626007076,331.712463378906,3.540352002080761,64.38662582199775,4
2007,11.32891482114793,216.1428050994873,340.027099609375,3.331768213228488,63.56634672583256,4.3
2008,14.16119575500491,218.1125411987301,341.112640380859,4.151472000332106,63.94150065948983,4.4
2009,15.70513844490048,222.6893005371093,330.462829589844,4.75246746037762,67.38709488552811,3.900000000000001
2010,20.7202816009521,228.4980049133297,336.205017089844,6.162990005415363,67.96388908505438,3.400000000000001
2011,14.45807528495793,238.8774814605717,330.50244140625,4.374574427783491,72.27707016147156,4.2
2012,10.93925976753235,242.5909099578856,317.092987060547,3.449858626310006,76.50465947124979,4.100000000000001
2013,8.74048173427582,242.6094589233398,314.167358398438,2.782110076245043,77.22299991956962,3.8
2014,7.41675937175751,240.386442184448,316.656158447266,2.342212262071843,75.9140271779936,3.8
2015,7.24535131454468,236.8784770965578,322.330780029297,2.247800012734168,73.48925134454353,3.6
2016,5.09322118759155,233.271940231323,328.840209960938,1.548843795044578,70.93777864301714,3.3
2017,6.05859470367432,227.6382904052732,340.370483398438,1.780000029139461,66.87956256735681,3
2018,6.40434741973877,223.1199455261234,350.068725585938,1.829454319011018,63.73604073105067,2.8
2019,6.59974336624146,219.0637855529785,357.896179199219,1.844038508879354,61.20875222616976,2.5
2020,7.634477155430321,215.3859798741729,328.2500885070681,2.325811149100705,65.61642705224588,2.3
2021,8.988125916488704,212.888982055348,346.2877701932563,2.595565506535968,61.47747635919652,1.9
2022,9.233468490810083,211.8297606019529,369.5045882051817,2.498877899097383,57.32804608215751,1.7
2023,11.68669990674524,211.0591686537846,378.4341335943838,3.08817278075433,55.7717050122132,2.1
